#-------------------------------------------------------------------
MAT,MATEMATICAS,8
MAT101,Álgebra Lineal,4
MAT102,Geometría Analítica,3
MAT103,Cálculo Diferencial,5
MAT104,Cálculo Integral,4
MAT105,Ecuaciones Diferenciales,5
MAT106,Probabilidad y Estadística,4
MAT107,Teoría de Números,3
MAT108,Matemáticas Discretas,4
MAT109,Optimización,3
MAT110,Análisis Matemático,5
#-------------------------------------------------------------------
FIS,FISICA,7
FIS201,Mecánica Clásica,4
FIS202,Electromagnetismo,5
FIS203,Termodinámica,4
FIS204,Óptica,3
FIS205,Física Moderna,5
FIS206,Relatividad Especial,4
FIS207,Física Cuántica,5
FIS208,Matemáticas para la Física,4
FIS209,Astrofísica,3
FIS210,Laboratorio de Física,4
#-------------------------------------------------------------------
PROG,PROGRAMACION,11
PROG101,Introducción a la Programación,3
PROG102,Estructuras de Datos,4
PROG103,Algoritmos,4
PROG104,Programación Orientada a Objetos,3
PROG105,Desarrollo Web,3
PROG106,Base de Datos,4
PROG107,Programación de Aplicaciones Móviles,3
PROG108,Arquitectura de Computadoras,3
PROG109,Redes y Comunicaciones,2
PROG110,Seguridad Informática,4
#-------------------------------------------------------------------
ING,INGENIERIA,12
ING101,Matemáticas Aplicadas,4
ING102,Física General,4
ING103,Química General,3
ING104,Estática,4
ING105,Dinámica,4
ING106,Electrónica Básica,3
ING107,Termodinámica,4
ING108,Control Automático,3
ING109,Metodología de la Investigación,2
ING110,Gestión de Proyectos,3
#-------------------------------------------------------------------
QUI,QUIMICA,8
QUI101,Química General,4
QUI102,Química Orgánica I,4
QUI103,Química Inorgánica,3
QUI104,Química Física,4
QUI105,Química Orgánica II,4
QUI106,Bioquímica,3
QUI107,Análisis Instrumental,4
QUI108,Química Ambiental,3
QUI109,Metodología de Laboratorio,2
QUI110,Química de Polímeros,4
#-------------------------------------------------------------------
BIO,BIOLOGIA,9
BIO201,Biología Celular,4
BIO202,Genética,4
BIO203,Botánica,3
BIO204,Zoología,4
BIO205,Ecología,4
BIO206,Microbiología,3
BIO207,Biología Molecular,4
BIO208,Biotecnología,3
BIO209,Anatomía,2
BIO210,Fisiología,4
