#-------------------------------------------------------------------
MAT,MATEMATICAS,8
Álgebra Lineal,MAT101,4
Geometría Analítica,MAT102,3
Cálculo Diferencial,MAT103,5
Cálculo Integral,MAT104,4
Ecuaciones Diferenciales,MAT105,5
Probabilidad y Estadística,MAT106,4
Teoría de Números,MAT107,3
Matemáticas Discretas,MAT108,4
Optimización,MAT109,3
Análisis Matemático,MAT110,5
#-------------------------------------------------------------------
FIS,FISICA,7
Mecánica Clásica,FIS201,4
Electromagnetismo,FIS202,5
Termodinámica,FIS203,4
Óptica,FIS204,3
Física Moderna,FIS205,5
Relatividad Especial,FIS206,4
Física Cuántica,FIS207,5
Matemáticas para la Física,FIS208,4
Astrofísica,FIS209,3
Laboratorio de Física,FIS210,4
#-------------------------------------------------------------------
PROG,PROGRAMACION,11
Introducción a la Programación,PROG101,3
Estructuras de Datos,PROG102,4
Algoritmos,PROG103,4
Programación Orientada a Objetos,PROG104,3
Desarrollo Web,PROG105,3
Base de Datos,PROG106,4
Programación de Aplicaciones Móviles,PROG107,3
Arquitectura de Computadoras,PROG108,3
Redes y Comunicaciones,PROG109,2
Seguridad Informática,PROG110,4
#-------------------------------------------------------------------
ING,INGENIERIA,12
Matemáticas Aplicadas,ING101,4
Física General,ING102,4
Química General,ING103,3
Estática,ING104,4
Dinámica,ING105,4
Electrónica Básica,ING106,3
Termodinámica,ING107,4
Control Automático,ING108,3
Metodología de la Investigación,ING109,2
Gestión de Proyectos,ING110,3
#-------------------------------------------------------------------
QUI,QUIMICA,8
Química General,QUI101,4
Química Orgánica I,QUI102,4
Química Inorgánica,QUI103,3
Química Física,QUI104,4
Química Orgánica II,QUI105,4
Bioquímica,QUI106,3
Análisis Instrumental,QUI107,4
Química Ambiental,QUI108,3
Metodología de Laboratorio,QUI109,2
Química de Polímeros,QUI110,4
#-------------------------------------------------------------------
BIO,BIOLOGIA,9
Biología Celular,BIO201,4
Genética,BIO202,4
Botánica,BIO203,3
Zoología,BIO204,4
Ecología,BIO205,4
Microbiología,BIO206,3
Biología Molecular,BIO207,4
Biotecnología,BIO208,3
Anatomía,BIO209,2
Fisiología,BIO210,4
